Neighbourhood,Pest Control Service,Cluster Labels,Postalcode,Neighbourhood Latitude,Neighbourhood Longitude,Venue,fsq_id,Venue Latitude,Venue Longitude,Venue Category
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,HMG Pest Control Toronto,5b2c0409a30619002ced54e6,43.642488,-79.374376,Pest Control Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,Heatsolete,5047b53ac84c402c83c17617,43.65552,-79.364152,Pest Control Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,Wildlife Shield- Wildlife Removal Toronto,23262a68194b4ff5a4c96598,43.653243,-79.363043,Pest Control Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,IPM Pest Control Svc,52a4cd6811d2bf98da8a77b6,43.655964,-79.392883,Pest Control Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,The Exterminators,81bbd9064400432e2a5877d8,43.668005,-79.369268,Pest Control Service
Richmond,0.8,1,M5H,43.6505712,-79.3845675,TKMT,4c22c357fbe5c9b6c8839a21,43.647117,-79.404935,Pest Control Service
Richmond,0.8,1,M5H,43.6505712,-79.3845675,Heatsolete,5047b53ac84c402c83c17617,43.65552,-79.364152,Pest Control Service
Richmond,0.8,1,M5H,43.6505712,-79.3845675,Wildlife Shield- Wildlife Removal Toronto,23262a68194b4ff5a4c96598,43.653243,-79.363043,Pest Control Service
Richmond,0.8,1,M5H,43.6505712,-79.3845675,My Pest Control,59a00c89002f4c45dfe94e79,43.669518,-79.39177,Pest Control Service
Richmond,0.8,1,M5H,43.6505712,-79.3845675,911 Bed Bugs,567cde2d498ef1c03ba6dcce,43.669321,-79.375136,Pest Control Service
Richmond,0.8,1,M5H,43.6505712,-79.3845675,The Exterminators,81bbd9064400432e2a5877d8,43.668005,-79.369268,Pest Control Service
Richmond,0.8,1,M5H,43.6505712,-79.3845675,Naylor Pest Control,0d2f25c63a054660ae2fd69d,43.666703,-79.405023,Pest Control Service
Richmond,0.8,1,M5H,43.6505712,-79.3845675,Quality pest control GTA Scarborough,63cff834469b1d37aa5f767d,43.66418,-79.360851,Home Service
Richmond,0.8,1,M5H,43.6505712,-79.3845675,Pest R Gone - Pest Control Toronto,5a49594614514bdd599a6fa9,43.654218,-79.380589,Pest Control Service
Richmond,0.8,1,M5H,43.6505712,-79.3845675,AAA All Seasons Wildlife Control Inc,55980866b81b4c6c09bab28c,43.666016,-79.378913,Pest Control Service
Parkdale,0.8571428571428571,1,M6R,43.6489597,-79.456325,Pest Control Toronto Exterminator,9f963ed8e3bb4959f3d12255,43.665235,-79.468203,Pest Control Service
Rosedale,0.7777777777777778,1,M4W,43.6795626,-79.3775294,Bird Barrier Systems,5c275c06622d45c98510d757,43.67407,-79.385526,Pest Control Service
Rosedale,0.7777777777777778,1,M4W,43.6795626,-79.3775294,The Exterminators,81bbd9064400432e2a5877d8,43.668005,-79.369268,Pest Control Service
Rosedale,0.7777777777777778,1,M4W,43.6795626,-79.3775294,My Pest Control,59a00c89002f4c45dfe94e79,43.669518,-79.39177,Pest Control Service
Rosedale,0.7777777777777778,1,M4W,43.6795626,-79.3775294,Toronto Kickboxing & Muay Thai  Academy Inc,527acc4f498ef5a83c817534,43.677599,-79.350726,Pest Control Service
Rosedale,0.7777777777777778,1,M4W,43.6795626,-79.3775294,Quality pest control GTA Scarborough,63cff834469b1d37aa5f767d,43.66418,-79.360851,Home Service
Rosedale,0.7777777777777778,1,M4W,43.6795626,-79.3775294,Raccoon Control,ffee32e578b590e1447cb7ab,43.658986,-79.369004,Pest Control Service
Rosedale,0.7777777777777778,1,M4W,43.6795626,-79.3775294,Sierra Club Ontario,7bba51784e014388be91fe37,43.68408,-79.365928,Agriculture and Forestry Service
Rosedale,0.7777777777777778,1,M4W,43.6795626,-79.3775294,AAA All Seasons Wildlife Control Inc,55980866b81b4c6c09bab28c,43.666016,-79.378913,Pest Control Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,Quality pest control GTA Scarborough,63cff834469b1d37aa5f767d,43.66418,-79.360851,Home Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,Pest Control Guys,8a085c7e855840f5fc5c4416,43.645626,-79.393011,Pest Control Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,Pest control exterminator NY,68e6f8cd52964666252a57d6,43.655799,-79.393604,Pest Control Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,Addison Pest Control,590cd35ab0405629414dff7f,43.655858,-79.393567,Home Inspection
Rosedale,0.7777777777777778,1,M4W,43.6795626,-79.3775294,911 Bed Bugs,567cde2d498ef1c03ba6dcce,43.669321,-79.375136,Pest Control Service
Kensington Market,0.7647058823529411,1,M5T,43.6532057,-79.4000493,AAA All Seasons Wildlife Control Inc,55980866b81b4c6c09bab28c,43.666016,-79.378913,Pest Control Service
Parkdale,0.8571428571428571,1,M6R,43.6489597,-79.456325,Pest Control Toronto,57715064498ec3ff9146ab02,43.665764,-79.450236,Home Service
Parkdale,0.8571428571428571,1,M6R,43.6489597,-79.456325,SWAT Wildlife,4f8e92e7e4b0036b6f308fd9,43.654321,-79.440122,Pest Control Service
Toronto Dominion Centre,0.8,1,M5K,43.6471768,-79.3815764,Pest control exterminator NY,68e6f8cd52964666252a57d6,43.655799,-79.393604,Pest Control Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,The Exterminators,81bbd9064400432e2a5877d8,43.668005,-79.369268,Pest Control Service
Moore Park,0.8,1,M4T,43.6895743,-79.3831599,Advantage Pest Control Inc,662c6f812eda4bddd7a5f6f9,43.698131,-79.398298,Pest Control Service
Moore Park,0.8,1,M4T,43.6895743,-79.3831599,Bird Barrier Systems,5c275c06622d45c98510d757,43.67407,-79.385526,Pest Control Service
Moore Park,0.8,1,M4T,43.6895743,-79.3831599,My Pest Control,59a00c89002f4c45dfe94e79,43.669518,-79.39177,Pest Control Service
Moore Park,0.8,1,M4T,43.6895743,-79.3831599,911 Bed Bugs,567cde2d498ef1c03ba6dcce,43.669321,-79.375136,Pest Control Service
Moore Park,0.8,1,M4T,43.6895743,-79.3831599,Sierra Club Ontario,7bba51784e014388be91fe37,43.68408,-79.365928,Agriculture and Forestry Service
Toronto Dominion Centre,0.8,1,M5K,43.6471768,-79.3815764,IPM Pest Control Svc,52a4cd6811d2bf98da8a77b6,43.655964,-79.392883,Pest Control Service
Toronto Dominion Centre,0.8,1,M5K,43.6471768,-79.3815764,Pest Control Guys,8a085c7e855840f5fc5c4416,43.645626,-79.393011,Pest Control Service
Toronto Dominion Centre,0.8,1,M5K,43.6471768,-79.3815764,HMG Pest Control Toronto,5b2c0409a30619002ced54e6,43.642488,-79.374376,Pest Control Service
Toronto Dominion Centre,0.8,1,M5K,43.6471768,-79.3815764,Icon Wildlife Removal & Pest Control,5cd1813dd9a6e6002b4d9142,43.653493,-79.38052,Home Service
Toronto Dominion Centre,0.8,1,M5K,43.6471768,-79.3815764,Greenleaf Pest Control,545a9566498e607c73a235a0,43.649765,-79.376188,Pest Control Service
Toronto Dominion Centre,0.8,1,M5K,43.6471768,-79.3815764,The Bed Bug Tracker,c2b0eedcbd974c4e7b1a4990,43.649759,-79.37628,Pest Control Service
Toronto Dominion Centre,0.8,1,M5K,43.6471768,-79.3815764,Bed Bug Exterminator Toronto,572f83c1498e351823f03aa2,43.650991,-79.380964,Home Service
The Danforth West,0.8181818181818182,1,M4K,43.6795571,-79.352188,Sierra Club Ontario,7bba51784e014388be91fe37,43.68408,-79.365928,Agriculture and Forestry Service
The Danforth West,0.8181818181818182,1,M4K,43.6795571,-79.352188,Pest Control Toronto Crew,54886e67498ebed54faa515e,43.68107,-79.322836,Pest Control Service
The Danforth West,0.8181818181818182,1,M4K,43.6795571,-79.352188,911 Bed Bugs,567cde2d498ef1c03ba6dcce,43.669321,-79.375136,Pest Control Service
The Danforth West,0.8181818181818182,1,M4K,43.6795571,-79.352188,The Exterminators Inc,fa2e54570ce8429b68752cd8,43.660266,-79.353637,Pest Control Service
The Danforth West,0.8181818181818182,1,M4K,43.6795571,-79.352188,The Exterminators Inc. Pest Control Toronto,5eeb3b1fd46f4e0008e79e54,43.660266,-79.353637,Pest Control Service
The Danforth West,0.8181818181818182,1,M4K,43.6795571,-79.352188,Budget Pest Control,997ca80e81884a4869c77def,43.694954,-79.339768,Pest Control Service
The Danforth West,0.8181818181818182,1,M4K,43.6795571,-79.352188,Armour Pest Control Ltd,514095acfe70b1a926e965e3,43.679625,-79.32808,Pest Control Service
